date,start_et,away,away_pts,home,home_pts,ot,attendance,notes
2/27/20,8:00p,Sacramento Kings,108,Oklahoma City Thunder,112,,18203,
2/27/20,10:30p,Los Angeles Lakers,116,Golden State Warriors,86,,18064,
2/28/20,7:00p,Minnesota Timberwolves,125,Orlando Magic,136,,18846,
2/28/20,7:30p,Brooklyn Nets,118,Atlanta Hawks,141,,17034,
2/28/20,7:30p,Charlotte Hornets,99,Toronto Raptors,96,,19800,
2/28/20,8:00p,Sacramento Kings,104,Memphis Grizzlies,101,,17794,
2/28/20,8:00p,Dallas Mavericks,118,Miami Heat,126,,19704,
2/28/20,8:00p,Oklahoma City Thunder,86,Milwaukee Bucks,133,,18412,
2/28/20,8:00p,Cleveland Cavaliers,104,New Orleans Pelicans,116,,18304,
2/28/20,9:00p,Detroit Pistons,113,Phoenix Suns,111,,17142,
2/28/20,9:00p,Washington Wizards,119,Utah Jazz,129,,18306,
2/28/20,10:30p,Denver Nuggets,103,Los Angeles Clippers,132,,19068,
2/29/20,5:00p,Chicago Bulls,115,New York Knicks,125,,19812,
2/29/20,7:30p,Portland Trail Blazers,117,Atlanta Hawks,129,,17765,
2/29/20,7:30p,Brooklyn Nets,113,Miami Heat,116,,19600,
2/29/20,8:00p,Indiana Pacers,113,Cleveland Cavaliers,104,,19432,
2/29/20,8:00p,Los Angeles Lakers,88,Memphis Grizzlies,105,,17794,
2/29/20,8:30p,Houston Rockets,111,Boston Celtics,110,OT,19156,
2/29/20,8:30p,Orlando Magic,113,San Antonio Spurs,114,,18354,
2/29/20,9:00p,Golden State Warriors,115,Phoenix Suns,99,,16395,
3/1/20,1:00p,Milwaukee Bucks,93,Charlotte Hornets,85,,19149,
3/1/20,3:30p,Philadelphia 76ers,130,Los Angeles Clippers,136,,19068,
3/1/20,3:30p,Dallas Mavericks,111,Minnesota Timberwolves,91,,18058,
3/1/20,6:00p,Toronto Raptors,118,Denver Nuggets,133,,19777,
3/1/20,6:00p,Detroit Pistons,100,Sacramento Kings,106,,17499,
3/1/20,8:00p,Los Angeles Lakers,122,New Orleans Pelicans,114,,18547,
3/1/20,8:30p,Washington Wizards,124,Golden State Warriors,110,,18064,
3/2/20,7:00p,Utah Jazz,126,Cleveland Cavaliers,113,,15453,
3/2/20,7:00p,Houston Rockets,123,New York Knicks,125,,18142,
3/2/20,7:00p,Portland Trail Blazers,130,Orlando Magic,107,,18078,
3/2/20,7:30p,Memphis Grizzlies,127,Atlanta Hawks,88,,16207,
3/2/20,7:30p,Milwaukee Bucks,89,Miami Heat,105,,19600,
3/2/20,8:00p,Dallas Mavericks,107,Chicago Bulls,109,,18407,
3/2/20,8:30p,Indiana Pacers,116,San Antonio Spurs,111,,17635,
3/3/20,7:00p,San Antonio Spurs,104,Charlotte Hornets,103,,12008,
3/3/20,7:30p,Brooklyn Nets,129,Boston Celtics,120,OT,19156,
3/3/20,8:00p,Minnesota Timberwolves,139,New Orleans Pelicans,134,,15264,
3/3/20,8:00p,Los Angeles Clippers,109,Oklahoma City Thunder,94,,18203,
3/3/20,9:00p,Golden State Warriors,116,Denver Nuggets,100,,19520,
3/3/20,9:00p,Toronto Raptors,123,Phoenix Suns,114,,15553,
3/3/20,10:00p,Philadelphia 76ers,107,Los Angeles Lakers,120,,18997,
3/3/20,10:00p,Washington Wizards,126,Sacramento Kings,133,,16419,
