date,start_et,away,away_pts,home,home_pts,ot,attendance,notes
12/18/19,7:00p,Chicago Bulls,110,Washington Wizards,109,OT,14987,
12/18/19,8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,99,,12490,
12/18/19,8:00p,Memphis Grizzlies,122,Oklahoma City Thunder,126,,18203,
12/18/19,9:00p,Orlando Magic,104,Denver Nuggets,113,,18182,
12/18/19,9:30p,Boston Celtics,109,Dallas Mavericks,103,,20181,
12/18/19,10:00p,Golden State Warriors,112,Portland Trail Blazers,122,,19393,
12/19/19,7:30p,Utah Jazz,111,Atlanta Hawks,106,,16739,
12/19/19,8:00p,Los Angeles Lakers,104,Milwaukee Bucks,111,,18051,
12/19/19,8:30p,Brooklyn Nets,105,San Antonio Spurs,118,,18354,
12/19/19,10:30p,Houston Rockets,122,Los Angeles Clippers,117,,19068,
12/20/19,7:00p,Memphis Grizzlies,107,Cleveland Cavaliers,114,,19432,
12/20/19,7:00p,Sacramento Kings,105,Indiana Pacers,119,,14649,
12/20/19,7:30p,Detroit Pistons,93,Boston Celtics,114,,19156,
12/20/19,7:30p,Washington Wizards,118,Toronto Raptors,122,,19800,
12/20/19,8:00p,New York Knicks,114,Miami Heat,129,,19704,
12/20/19,8:00p,Phoenix Suns,108,Oklahoma City Thunder,126,,18203,
12/20/19,8:00p,Dallas Mavericks,117,Philadelphia 76ers,98,,20778,
12/20/19,9:00p,Minnesota Timberwolves,100,Denver Nuggets,109,,19520,
12/20/19,10:00p,Orlando Magic,103,Portland Trail Blazers,118,,19393,
12/20/19,10:30p,New Orleans Pelicans,102,Golden State Warriors,106,,18064,
12/21/19,5:00p,Utah Jazz,114,Charlotte Hornets,107,,16187,
12/21/19,6:00p,Atlanta Hawks,112,Brooklyn Nets,122,,16496,
12/21/19,7:00p,Chicago Bulls,119,Detroit Pistons,107,,15948,
12/21/19,7:00p,Washington Wizards,108,Philadelphia 76ers,125,,20529,
12/21/19,7:30p,Milwaukee Bucks,123,New York Knicks,102,,18124,
12/21/19,8:00p,Sacramento Kings,115,Memphis Grizzlies,119,,15603,
12/21/19,8:30p,Los Angeles Clippers,134,San Antonio Spurs,109,,18354,
12/21/19,9:00p,Houston Rockets,139,Phoenix Suns,125,,16061,
12/21/19,10:00p,Minnesota Timberwolves,106,Portland Trail Blazers,113,,19393,
12/22/19,3:30p,Dallas Mavericks,107,Toronto Raptors,110,,19800,
12/22/19,6:00p,Charlotte Hornets,93,Boston Celtics,119,,19156,
12/22/19,7:00p,Indiana Pacers,89,Milwaukee Bucks,117,,18029,
12/22/19,7:00p,Los Angeles Clippers,112,Oklahoma City Thunder,118,,18203,
12/22/19,9:30p,Denver Nuggets,128,Los Angeles Lakers,104,,18997,
12/23/19,7:00p,Atlanta Hawks,118,Cleveland Cavaliers,121,,18007,
12/23/19,7:00p,Philadelphia 76ers,125,Detroit Pistons,109,,16476,
12/23/19,7:00p,Toronto Raptors,115,Indiana Pacers,120,OT,17164,
12/23/19,7:00p,Washington Wizards,121,New York Knicks,115,,19413,
12/23/19,7:00p,Chicago Bulls,95,Orlando Magic,103,,18846,
12/23/19,7:30p,Utah Jazz,104,Miami Heat,107,,19890,
12/23/19,8:00p,San Antonio Spurs,145,Memphis Grizzlies,115,,16776,
12/23/19,9:00p,Denver Nuggets,113,Phoenix Suns,111,,16041,
12/23/19,10:00p,New Orleans Pelicans,102,Portland Trail Blazers,94,,19499,
12/23/19,10:00p,Houston Rockets,113,Sacramento Kings,104,,17583,
12/23/19,10:30p,Minnesota Timberwolves,104,Golden State Warriors,113,,18064,
12/25/19,12:00p,Boston Celtics,118,Toronto Raptors,102,,19800,
12/25/19,2:30p,Milwaukee Bucks,109,Philadelphia 76ers,121,,21028,
12/25/19,5:00p,Houston Rockets,104,Golden State Warriors,116,,18064,
12/25/19,8:00p,Los Angeles Clippers,111,Los Angeles Lakers,106,,18997,
12/25/19,10:30p,New Orleans Pelicans,112,Denver Nuggets,100,,19520,
12/26/19,7:00p,Washington Wizards,102,Detroit Pistons,132,,17188,
12/26/19,7:30p,New York Knicks,94,Brooklyn Nets,82,,17732,
12/26/19,8:00p,San Antonio Spurs,98,Dallas Mavericks,102,,20427,
12/26/19,8:00p,Memphis Grizzlies,110,Oklahoma City Thunder,97,,18203,
12/26/19,10:00p,Minnesota Timberwolves,105,Sacramento Kings,104,2OT,17583,
12/26/19,10:30p,Portland Trail Blazers,115,Utah Jazz,121,,18306,
12/27/19,4:00p,Cleveland Cavaliers,117,Boston Celtics,129,,19156,
12/27/19,7:00p,Oklahoma City Thunder,104,Charlotte Hornets,102,OT,18418,
12/27/19,7:00p,Philadelphia 76ers,97,Orlando Magic,98,,17311,
12/27/19,7:30p,Milwaukee Bucks,112,Atlanta Hawks,86,,17358,
12/27/19,8:00p,Indiana Pacers,112,Miami Heat,113,,19767,
12/27/19,10:30p,Phoenix Suns,96,Golden State Warriors,105,,18064,
12/28/19,5:00p,Memphis Grizzlies,110,Denver Nuggets,119,,19697,
12/28/19,7:00p,Toronto Raptors,113,Boston Celtics,97,,19156,
12/28/19,7:00p,Indiana Pacers,98,New Orleans Pelicans,120,,15391,
12/28/19,8:00p,Atlanta Hawks,81,Chicago Bulls,116,,21496,
12/28/19,8:00p,Brooklyn Nets,98,Houston Rockets,108,,18306,
12/28/19,8:00p,Philadelphia 76ers,116,Miami Heat,117,OT,19865,
12/28/19,8:00p,Cleveland Cavaliers,94,Minnesota Timberwolves,88,,15411,
12/28/19,8:00p,New York Knicks,107,Washington Wizards,100,,19033,
12/28/19,8:30p,Dallas Mavericks,141,Golden State Warriors,121,,18064,
12/28/19,8:30p,Orlando Magic,100,Milwaukee Bucks,111,,17920,
12/28/19,8:30p,Detroit Pistons,109,San Antonio Spurs,136,,18524,
12/28/19,9:00p,Phoenix Suns,112,Sacramento Kings,110,,17583,
12/28/19,10:00p,Los Angeles Lakers,128,Portland Trail Blazers,120,,19960,
12/28/19,10:30p,Utah Jazz,120,Los Angeles Clippers,107,,19068,
12/29/19,6:00p,Oklahoma City Thunder,98,Toronto Raptors,97,,19800,
12/29/19,8:00p,Sacramento Kings,115,Denver Nuggets,120,,19520,
12/29/19,8:00p,Charlotte Hornets,104,Memphis Grizzlies,117,,16842,
12/29/19,8:00p,Houston Rockets,112,New Orleans Pelicans,127,,17712,
12/29/19,9:30p,Dallas Mavericks,95,Los Angeles Lakers,108,,18997,
12/30/19,7:00p,Atlanta Hawks,101,Orlando Magic,93,,17784,
12/30/19,7:00p,Miami Heat,105,Washington Wizards,123,,20476,
12/30/19,8:00p,Milwaukee Bucks,123,Chicago Bulls,102,,21954,
12/30/19,8:00p,Brooklyn Nets,115,Minnesota Timberwolves,122,OT,15824,
12/30/19,9:00p,Detroit Pistons,81,Utah Jazz,104,,18306,
12/30/19,10:00p,Phoenix Suns,122,Portland Trail Blazers,116,,19896,
12/31/19,3:00p,Boston Celtics,109,Charlotte Hornets,92,,19216,
12/31/19,3:00p,Philadelphia 76ers,97,Indiana Pacers,115,,17923,
12/31/19,5:00p,Los Angeles Clippers,105,Sacramento Kings,87,,16231,
12/31/19,7:00p,Denver Nuggets,104,Houston Rockets,130,,18055,
12/31/19,7:00p,Golden State Warriors,113,San Antonio Spurs,117,OT,18354,
12/31/19,7:00p,Cleveland Cavaliers,97,Toronto Raptors,117,,19800,
12/31/19,8:00p,Dallas Mavericks,101,Oklahoma City Thunder,106,,18203,
1/1/20,6:00p,Orlando Magic,122,Washington Wizards,101,,14921,
1/1/20,7:30p,Portland Trail Blazers,93,New York Knicks,117,,19812,
1/1/20,8:00p,Minnesota Timberwolves,104,Milwaukee Bucks,106,,17819,
1/1/20,10:30p,Phoenix Suns,107,Los Angeles Lakers,117,,18997,
1/2/20,7:00p,Charlotte Hornets,109,Cleveland Cavaliers,106,,17859,
1/2/20,7:00p,Denver Nuggets,124,Indiana Pacers,116,,16688,
1/2/20,7:30p,Toronto Raptors,76,Miami Heat,84,,19939,
1/2/20,8:00p,Utah Jazz,102,Chicago Bulls,98,,19398,
1/2/20,8:00p,Golden State Warriors,84,Minnesota Timberwolves,99,,15477,
1/2/20,8:30p,Brooklyn Nets,111,Dallas Mavericks,123,,20289,
1/2/20,8:30p,Oklahoma City Thunder,109,San Antonio Spurs,103,,18354,
1/2/20,10:00p,Memphis Grizzlies,123,Sacramento Kings,128,,17351,
1/2/20,10:30p,Detroit Pistons,112,Los Angeles Clippers,126,,19068,
1/3/20,7:00p,Atlanta Hawks,106,Boston Celtics,109,,19156,
1/3/20,7:00p,Miami Heat,85,Orlando Magic,105,,17198,
1/3/20,7:00p,Portland Trail Blazers,122,Washington Wizards,103,,17945,
1/3/20,8:00p,Philadelphia 76ers,108,Houston Rockets,118,,18055,
1/3/20,9:00p,New York Knicks,112,Phoenix Suns,120,,18055,
1/3/20,10:30p,New Orleans Pelicans,113,Los Angeles Lakers,123,,18997,
1/4/20,3:30p,Memphis Grizzlies,140,Los Angeles Clippers,114,,19068,
1/4/20,6:00p,Toronto Raptors,121,Brooklyn Nets,102,,17732,
1/4/20,7:00p,Utah Jazz,109,Orlando Magic,96,,16913,
1/4/20,7:30p,Indiana Pacers,111,Atlanta Hawks,116,,16420,
1/4/20,7:30p,Oklahoma City Thunder,121,Cleveland Cavaliers,106,,19432,
1/4/20,8:00p,Boston Celtics,111,Chicago Bulls,104,,21130,
1/4/20,8:00p,Denver Nuggets,114,Washington Wizards,128,,16233,
1/4/20,8:30p,Charlotte Hornets,123,Dallas Mavericks,120,OT,20327,
1/4/20,8:30p,Detroit Pistons,111,Golden State Warriors,104,,18064,
1/4/20,8:30p,San Antonio Spurs,118,Milwaukee Bucks,127,,18002,
1/4/20,10:00p,New Orleans Pelicans,117,Sacramento Kings,115,,16808,
1/5/20,3:30p,New York Knicks,132,Los Angeles Clippers,135,,19068,
1/5/20,6:00p,Portland Trail Blazers,111,Miami Heat,122,,19846,
1/5/20,7:30p,Minnesota Timberwolves,118,Cleveland Cavaliers,103,,16159,
1/5/20,8:00p,Memphis Grizzlies,121,Phoenix Suns,114,,14181,
1/5/20,10:00p,Detroit Pistons,99,Los Angeles Lakers,106,,18997,
1/6/20,7:00p,Indiana Pacers,115,Charlotte Hornets,104,,13009,
1/6/20,7:00p,Brooklyn Nets,89,Orlando Magic,101,,15008,
1/6/20,7:00p,Oklahoma City Thunder,113,Philadelphia 76ers,120,,20561,
1/6/20,7:00p,Boston Celtics,94,Washington Wizards,99,,17963,
1/6/20,7:30p,Denver Nuggets,123,Atlanta Hawks,115,,15286,
1/6/20,8:00p,Utah Jazz,128,New Orleans Pelicans,126,,14138,
1/6/20,8:30p,Chicago Bulls,110,Dallas Mavericks,118,,20238,
1/6/20,8:30p,Milwaukee Bucks,104,San Antonio Spurs,126,,18354,
1/6/20,10:00p,Golden State Warriors,98,Sacramento Kings,111,,15819,
1/7/20,7:00p,Detroit Pistons,115,Cleveland Cavaliers,113,,17274,
1/7/20,7:00p,Portland Trail Blazers,101,Toronto Raptors,99,,19800,
1/7/20,7:30p,Oklahoma City Thunder,111,Brooklyn Nets,103,OT,15677,
1/7/20,8:00p,Minnesota Timberwolves,112,Memphis Grizzlies,119,,14117,
1/7/20,9:00p,Sacramento Kings,114,Phoenix Suns,103,,14134,
1/7/20,10:30p,New York Knicks,87,Los Angeles Lakers,117,,18997,
1/8/20,7:00p,San Antonio Spurs,129,Boston Celtics,114,,19156,
1/8/20,7:00p,Toronto Raptors,112,Charlotte Hornets,110,OT,13965,
1/8/20,7:00p,Miami Heat,122,Indiana Pacers,108,,17040,
1/8/20,7:00p,Washington Wizards,89,Orlando Magic,123,,16013,
1/8/20,7:30p,Houston Rockets,122,Atlanta Hawks,115,,16514,
1/8/20,7:30p,Denver Nuggets,107,Dallas Mavericks,106,,20314,
1/8/20,8:00p,Chicago Bulls,108,New Orleans Pelicans,123,,15324,
1/8/20,9:00p,New York Knicks,104,Utah Jazz,128,,18306,
1/8/20,10:00p,Milwaukee Bucks,107,Golden State Warriors,98,,18064,
1/9/20,7:00p,Cleveland Cavaliers,115,Detroit Pistons,112,OT,13445,
1/9/20,7:00p,Boston Celtics,98,Philadelphia 76ers,109,,20822,
1/9/20,8:00p,Portland Trail Blazers,102,Minnesota Timberwolves,116,,13720,
1/9/20,9:30p,Houston Rockets,92,Oklahoma City Thunder,113,,18203,
1/10/20,7:00p,Atlanta Hawks,101,Washington Wizards,111,,16360,
1/10/20,7:15p,New Orleans Pelicans,123,New York Knicks,111,,18003,
1/10/20,7:30p,Miami Heat,113,Brooklyn Nets,117,,16011,
1/10/20,8:00p,Indiana Pacers,116,Chicago Bulls,105,,20229,
1/10/20,8:00p,San Antonio Spurs,121,Memphis Grizzlies,134,,16448,
1/10/20,9:00p,Orlando Magic,94,Phoenix Suns,98,,14562,
1/10/20,9:00p,Charlotte Hornets,92,Utah Jazz,109,,18306,
1/10/20,9:45p,Los Angeles Lakers,129,Dallas Mavericks,114,,20542,
1/10/20,10:00p,Milwaukee Bucks,127,Sacramento Kings,106,,17583,
1/10/20,10:30p,Golden State Warriors,100,Los Angeles Clippers,109,,19068,
1/11/20,5:00p,Minnesota Timberwolves,109,Houston Rockets,139,,18055,
1/11/20,7:00p,New Orleans Pelicans,105,Boston Celtics,140,,19156,
1/11/20,7:00p,Chicago Bulls,108,Detroit Pistons,99,,15951,
1/11/20,8:00p,Los Angeles Lakers,125,Oklahoma City Thunder,110,,18203,
1/11/20,8:30p,Philadelphia 76ers,91,Dallas Mavericks,109,,20244,
1/11/20,9:00p,Cleveland Cavaliers,111,Denver Nuggets,103,,19533,
1/11/20,10:00p,Milwaukee Bucks,122,Portland Trail Blazers,101,,19843,
1/12/20,3:30p,Miami Heat,121,New York Knicks,124,,18861,
1/12/20,3:30p,Utah Jazz,127,Washington Wizards,116,,15953,
1/12/20,6:00p,Atlanta Hawks,86,Brooklyn Nets,108,,15201,
1/12/20,6:00p,Golden State Warriors,102,Memphis Grizzlies,122,,16408,
1/12/20,6:00p,San Antonio Spurs,105,Toronto Raptors,104,,19800,
1/12/20,8:00p,Los Angeles Clippers,104,Denver Nuggets,114,,19520,
1/12/20,8:00p,Charlotte Hornets,92,Phoenix Suns,100,,14751,
1/13/20,7:00p,New Orleans Pelicans,117,Detroit Pistons,110,OT,13780,
1/13/20,7:00p,Philadelphia 76ers,95,Indiana Pacers,101,,15257,
1/13/20,7:30p,Chicago Bulls,101,Boston Celtics,113,,19156,
1/13/20,8:00p,Oklahoma City Thunder,117,Minnesota Timberwolves,104,,11044,
1/13/20,10:00p,Charlotte Hornets,112,Portland Trail Blazers,115,,19111,
1/13/20,10:00p,Orlando Magic,114,Sacramento Kings,112,,16299,
1/13/20,10:30p,Cleveland Cavaliers,99,Los Angeles Lakers,128,,18997,
1/14/20,7:30p,Phoenix Suns,110,Atlanta Hawks,123,,16060,
1/14/20,7:30p,Utah Jazz,118,Brooklyn Nets,107,,15381,
1/14/20,8:00p,Houston Rockets,110,Memphis Grizzlies,121,,16181,
1/14/20,8:00p,New York Knicks,102,Milwaukee Bucks,128,,17590,
1/14/20,10:30p,Dallas Mavericks,124,Golden State Warriors,97,,18064,
1/14/20,10:30p,Cleveland Cavaliers,103,Los Angeles Clippers,128,,19068,
1/15/20,7:00p,Detroit Pistons,116,Boston Celtics,103,,19156,
1/15/20,7:00p,Brooklyn Nets,106,Philadelphia 76ers,117,,20416,
1/15/20,7:30p,San Antonio Spurs,100,Miami Heat,106,,19704,
1/15/20,8:00p,Washington Wizards,106,Chicago Bulls,115,,19382,
1/15/20,8:00p,Indiana Pacers,104,Minnesota Timberwolves,99,,12648,
1/15/20,8:00p,Toronto Raptors,130,Oklahoma City Thunder,121,,18203,
1/15/20,9:00p,Charlotte Hornets,86,Denver Nuggets,100,,19520,
1/15/20,9:30p,Portland Trail Blazers,117,Houston Rockets,107,,18055,
1/15/20,10:00p,Dallas Mavericks,127,Sacramento Kings,123,,17029,
1/15/20,10:30p,Orlando Magic,119,Los Angeles Lakers,118,,18997,
1/16/20,7:30p,Phoenix Suns,121,New York Knicks,98,,18215,
1/16/20,8:00p,Boston Celtics,123,Milwaukee Bucks,128,,17873,
1/16/20,8:00p,Utah Jazz,132,New Orleans Pelicans,138,OT,16717,
1/16/20,10:30p,Denver Nuggets,134,Golden State Warriors,131,OT,18064,
1/16/20,10:30p,Orlando Magic,95,Los Angeles Clippers,122,,19068,
1/17/20,7:00p,Minnesota Timberwolves,114,Indiana Pacers,116,,16248,
1/17/20,7:00p,Chicago Bulls,89,Philadelphia 76ers,100,,20919,
1/17/20,7:00p,Washington Wizards,111,Toronto Raptors,140,,19800,
1/17/20,8:00p,Cleveland Cavaliers,109,Memphis Grizzlies,113,,17102,
1/17/20,8:00p,Miami Heat,115,Oklahoma City Thunder,108,,18203,
1/17/20,8:30p,Atlanta Hawks,121,San Antonio Spurs,120,,18354,
1/17/20,9:30p,Portland Trail Blazers,112,Dallas Mavericks,120,,20283,
1/18/20,3:30p,Los Angeles Clippers,133,New Orleans Pelicans,130,,17959,
1/18/20,6:00p,Milwaukee Bucks,117,Brooklyn Nets,97,,17732,
1/18/20,7:00p,Phoenix Suns,123,Boston Celtics,119,,19156,
1/18/20,7:30p,Detroit Pistons,136,Atlanta Hawks,103,,17056,
1/18/20,7:30p,Philadelphia 76ers,90,New York Knicks,87,,17812,
1/18/20,8:00p,Cleveland Cavaliers,116,Chicago Bulls,118,,19939,
1/18/20,8:00p,Toronto Raptors,122,Minnesota Timberwolves,112,,16520,
1/18/20,8:30p,Orlando Magic,95,Golden State Warriors,109,,18064,
1/18/20,8:30p,Los Angeles Lakers,124,Houston Rockets,115,,18502,
1/18/20,9:00p,Portland Trail Blazers,106,Oklahoma City Thunder,119,,18203,
1/18/20,9:00p,Sacramento Kings,101,Utah Jazz,123,,18306,
1/19/20,3:00p,Miami Heat,102,San Antonio Spurs,107,,18422,
1/19/20,8:00p,Indiana Pacers,115,Denver Nuggets,107,,19520,
1/20/20,2:00p,Detroit Pistons,100,Washington Wizards,106,,17305,
1/20/20,2:30p,Toronto Raptors,122,Atlanta Hawks,117,,17300,
1/20/20,3:00p,Philadelphia 76ers,117,Brooklyn Nets,111,,16801,
1/20/20,5:00p,Orlando Magic,106,Charlotte Hornets,83,,16133,
1/20/20,5:00p,New York Knicks,106,Cleveland Cavaliers,86,,17133,
1/20/20,5:00p,Oklahoma City Thunder,112,Houston Rockets,107,,18055,
1/20/20,5:00p,New Orleans Pelicans,126,Memphis Grizzlies,116,,17794,
1/20/20,5:00p,Sacramento Kings,113,Miami Heat,118,OT,19600,
1/20/20,5:00p,Chicago Bulls,98,Milwaukee Bucks,111,,17747,
1/20/20,7:30p,Los Angeles Lakers,107,Boston Celtics,139,,19156,
1/20/20,8:00p,Denver Nuggets,107,Minnesota Timberwolves,100,,12172,
1/20/20,9:00p,San Antonio Spurs,120,Phoenix Suns,118,,14847,
1/20/20,9:00p,Indiana Pacers,88,Utah Jazz,118,,18306,
1/20/20,10:00p,Golden State Warriors,124,Portland Trail Blazers,129,OT,19493,
1/21/20,8:30p,Los Angeles Clippers,110,Dallas Mavericks,107,,19783,
1/22/20,7:00p,Sacramento Kings,106,Detroit Pistons,127,,13972,
1/22/20,7:00p,Oklahoma City Thunder,120,Orlando Magic,114,,18846,
1/22/20,7:00p,Philadelphia 76ers,95,Toronto Raptors,107,,19800,
1/22/20,7:30p,Los Angeles Clippers,95,Atlanta Hawks,102,,14338,
1/22/20,7:30p,Memphis Grizzlies,95,Boston Celtics,119,,19156,
1/22/20,7:30p,Washington Wizards,129,Miami Heat,134,OT,19600,
1/22/20,7:30p,Los Angeles Lakers,100,New York Knicks,92,,19812,
1/22/20,8:00p,Minnesota Timberwolves,110,Chicago Bulls,117,,18875,
1/22/20,8:00p,Denver Nuggets,105,Houston Rockets,121,,18055,
1/22/20,9:00p,Indiana Pacers,112,Phoenix Suns,87,,14691,
1/22/20,9:30p,San Antonio Spurs,121,New Orleans Pelicans,117,,18365,
1/22/20,10:00p,Utah Jazz,129,Golden State Warriors,96,,18064,
1/23/20,7:00p,Washington Wizards,124,Cleveland Cavaliers,112,,16689,
1/23/20,8:00p,Los Angeles Lakers,128,Brooklyn Nets,113,,17732,
1/23/20,10:30p,Dallas Mavericks,133,Portland Trail Blazers,125,,19574,
1/24/20,3:00p,Milwaukee Bucks,116,Charlotte Hornets,103,,15758,at Paris France
1/24/20,7:00p,Memphis Grizzlies,125,Detroit Pistons,112,,14583,
1/24/20,7:00p,Boston Celtics,109,Orlando Magic,98,,18846,
1/24/20,7:30p,Toronto Raptors,118,New York Knicks,112,,18883,
1/24/20,8:00p,Sacramento Kings,98,Chicago Bulls,81,,17661,
1/24/20,8:00p,Los Angeles Clippers,122,Miami Heat,117,,19632,
1/24/20,8:00p,Houston Rockets,131,Minnesota Timberwolves,124,,16101,
1/24/20,8:00p,Denver Nuggets,113,New Orleans Pelicans,106,,16398,
1/24/20,8:00p,Atlanta Hawks,111,Oklahoma City Thunder,140,,18203,
1/24/20,8:30p,Phoenix Suns,103,San Antonio Spurs,99,,18354,
1/24/20,10:30p,Indiana Pacers,129,Golden State Warriors,118,,18064,
1/25/20,5:00p,Dallas Mavericks,107,Utah Jazz,112,,18306,
1/25/20,7:00p,Brooklyn Nets,121,Detroit Pistons,111,OT,15890,
1/25/20,8:00p,Chicago Bulls,118,Cleveland Cavaliers,106,,19432,
1/25/20,8:00p,Oklahoma City Thunder,113,Minnesota Timberwolves,104,,16236,
1/25/20,8:30p,Los Angeles Lakers,91,Philadelphia 76ers,108,,21109,
1/26/20,3:30p,Houston Rockets,110,Denver Nuggets,117,,19520,
1/26/20,4:00p,Toronto Raptors,110,San Antonio Spurs,106,,18354,
1/26/20,6:00p,Washington Wizards,133,Atlanta Hawks,152,,15567,
1/26/20,6:00p,Phoenix Suns,109,Memphis Grizzlies,114,,17214,
1/26/20,6:00p,Boston Celtics,108,New Orleans Pelicans,123,,16737,
1/26/20,6:00p,Brooklyn Nets,97,New York Knicks,110,,17831,
1/26/20,6:00p,Los Angeles Clippers,112,Orlando Magic,97,,15427,
1/26/20,9:00p,Indiana Pacers,129,Portland Trail Blazers,139,,19663,
1/27/20,7:00p,Cleveland Cavaliers,115,Detroit Pistons,100,,12597,
1/27/20,7:30p,Orlando Magic,92,Miami Heat,113,,19600,
1/27/20,8:00p,San Antonio Spurs,109,Chicago Bulls,110,,16071,
1/27/20,8:00p,Sacramento Kings,133,Minnesota Timberwolves,129,OT,13449,
1/27/20,8:00p,Dallas Mavericks,107,Oklahoma City Thunder,97,,18203,
