date,away,home,period,time,challenging,challenge_type,result,link
10/28/19,CHI,NYK,4th,10:18,NYK,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_CHI_NYK_New_York_Offensive_Foul_Challenge_102819
10/28/19,IND,DET,2nd,:36,IND,GT,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_IND_DET_Indiana_Goaltending_Challenge_102818_v2
10/28/19,ORL,TOR,3rd,1:20,TOR,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ORL_TOR_Toronto_Offensive_Foul_102819
10/28/19,PHI,ATL,2nd,3:19,PHI,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_PHI_ATL_Philadelphia_Offensive_Foul_Challenge_102819
10/28/19,PHI,ATL,3rd,6:30,ATL,OB,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_PHI_ATL_Atlanta_Out_of_Bounds_Challenge_102819
10/28/19,GSW,NOP,3rd,8:16,GSW,Foul,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_GSW_NOP_Golden_State_Defensive_Foul_Challenge_102819
10/28/19,OKC,HOU,2nd,4:07,HOU,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_OKC_HOU_Houston_Defensive_Foul_Challenge_102819
10/28/19,DEN,SAC,3rd,10:47,SAC,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_SAC_Sacramento_Defensive_Foul_Challenge_102819
10/28/19,UT,PHX,3rd,11:43,UT,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_PHX_Utah_Defensive_Foul_Challenge_102819
10/27/19,CHA,LAL,2nd,2:59,LAL,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_CHA_LAL_LA_Lakers_Offensive_Foul_Challenge_102719
10/27/19,POR,DAL,4th,8.4,POR,Foul,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_POR_DAL_Portland_Defensive_Foul_Challenge_102719
10/26/19,MIA,MIL,4th,5:54,MIL,OB,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_MIL_Milwaukee_OB_Challenge_102619
10/26/19,PHI,DET,2nd,8:26,DET,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_PHI_DET_Detroit_Defensive_Foul_Challenge_102619
10/26/19,ORL,ATL,4th,6:10,ORL,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ORL_ATL_Orlando_Offensive_Foul_Challenge_102619
10/26/19,BOS,NYK,3rd,6:17,BOS,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BOS_NYK_Boston_Defensive_Foul_Challenge_102619
10/26/19,IND,CLE,4th,5:45,CLE,ob,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_IND_CLE_Cleveland_OB_Challenge_102619
10/26/19,WAS,SAS,4th,3:17,WAS,Foul,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_WAS_SAS_Washington_Defensive_Foul_Challenge_102619
10/26/19,SAC,UT,2nd,4:00,UTA,Foul,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_SAC_UTA_Utah_Defensive_Foul_Challenge_102619
10/26/19,LAC,PHX,3rd,3:37,PHX,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAC_PHX_Phoenix_Defensive_Foul_Challenge_102619
10/26/19,LAC,PHX,4th,:33,LAC,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAC_PHX_LA_Clippers_Defensive_Foul_Challenge_102619
10/25/19,TOR,BOS,2nd,0.3,BOS,Foul,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_TOR_BOS_Boston_Defensive_Foul_Challenge_102519
10/25/19,MIN,CHA,3rd,5:54,CHA,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIN_CHA_Charlotte_Defensive_Foul_Challenge_102519
10/25/19,TOR,BOS,4th,1:31,TOR,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_TOR_BOS_Toronto_Offensive_Foul_Challenge_102519
10/25/19,NYK,BKN,4th,8:58,NYK,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NYK_BKN_New_York_Defensive_Foul_Challenge_102519
10/25/19,DAL,NOP,4th,8:28,DAL,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DAL_NOP_Dallas_Defensive_Foul_Challenge_102519
10/25/19,POR,SAC,4th,6:24,SAC,GT,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_POR_SAC_Sacramento_Basket_Interference_Challenge_102519
10/25/19,POR,SAC,4th,3:19,POR,Foul,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_POR_SAC_Portland_Defensive_Foul_Challenge_102519
10/24/19,MIL,HOU,1st,7:24,HOU,Foul,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIL_HOU_Houston_Defensive_Foul_Challenge_102419
10/24/19,MIL,HOU,1st,2:11,MIL,Foul,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIL_HOU_Milwaukee_Defensive_Foul_Challenge_102419
10/24/19,LAC,GSW,2nd,2:23,GSW,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAC_GSW_Golden_State_Defensive_Foul_Challenge_102419
10/23/19,MEM,MIA,4th,4:57,MIA,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MEM_MIA_Miami_Defensive_Foul_Challenge_102319
10/23/19,BOS,PHI,3rd,11:16,PHI,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BOS_PHI_Philadelphia_Defensive_Foul_Challenge_102319
10/23/19,WAS,DAL,3rd,6:57,WAS,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_WAS_DAL_Washington_Defensive_Foul_Challenge_102319
10/23/19,SAC,PHX,3rd,10:03,PHX,OB,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_SAC_PHX_Phoenix_OB_Challenge_102319
10/23/19,DEN,POR,4th,:15,POR,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_POR_Portland_Defensive_Foul_Challenge_102319
10/22/19,NOP,TOR,1st,2:44,TOR,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NOP_TOR_Toronto_Offensive_Foul_Challenge_102219
10/22/19,NOP,TOR,3rd,2:41,NOP,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NOP_TOR_New_Orleans_Loose_Ball_Foul_Challenge_102219
10/22/19,LAL,LAC,1st,4:56,LAL,Foul,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAL_LAC_LA_Lakers_Defensive_Foul_Challenge_102219
